itemNum,food,price
1,burrito_chili-rubbed-chicken,8.69
2,burrito_marinated-steak,9.19
3,burrito_seasoned-beef,8.99
4,burrito_grilled-vegetable-medley,8.29
5,bowl_chili-rubbed-chicken,8.69
6,bowl_marinated-steak,9.19
7,bowl_seasoned-beef,8.99
8,bowl_grilled-vegetable-medley,8.29
9,tacos_chili-rubbed-chicken,7.89
10,tacos_marinated-steak,8.89
11,tacos_seasoned-beef,8.79
12,tacos_grilled-vegetable-medley,7.89
13,chips-and-guac,3.69
14,chips-and-queso,3.49
15,chips-and-salsa,2.19
16,fountain-drink,2.45
17,custom-burrito,10
18,custom-tacos,10
19,custom-bowl,11
20,eat-the-rainbow,24.24
